
4.67,97.32
46.46,91.4
16.27,7.6
25.93,35.42
20.27,18.86
23.2,69.48
45.78,83.03
66.02,45.5
93.23,51.55
83.22,0.06
81.92,10.69
16.15,43.86
78.7,63.94
38.17,23.45
43.29,65.41
32.16,1.56
48.6,50.37
48.14,3.03
88.63,12.58
29.42,38.44
38.53,38.04
6.71,85.17
59.43,46.21
59.85,78.5
83.69,32.75
77.25,42.52
97.8,29.83
2.88,33.76
49.99,1.33
54.5,39.12
70.16,42.9
71.63,89.88
82.77,33.51
46.35,23.23
99.13,41.09
10.45,50.58
66.4,74.06
81.1,24.37
83.17,65.42
48.53,69.03
1.31,88.83
77.56,46.87
38.93,78.01
0.52,23.84
14.19,90.16
14.04,98.52
66.18,3.84
47.15,6.8
72.82,34.15
53.14,99.17
9.07,39.94
83.79,87.1
53.95,77.83
16.83,77.18
87.21,92.58
31.43,5.87
81.03,59.82
31.96,64.1
44.54,52.48
71.46,74.3
85.69,13.99
75.88,72.67
81.97,61.65
75.6,74.14
67.79,53.98
79.14,96.84
19.31,44.92
77.95,55.37
60.45,29.89
14.15,63.67
99.35,0.23
46.62,93.62
32.93,20.62
55.86,8.4
82.0,49.08
66.64,74.87
97.85,79.16
87.18,90.71
83.24,45.01
75.34,95.29
64.4,60.39
10.51,50.68
0.31,5.35
8.06,99.85
81.88,3.38
74.79,73.52
23.21,86.72
46.75,48.47
15.59,13.86
51.61,8.25
15.87,69.06
4.95,98.47
92.3,6.29
21.31,87.13
89.7,32.3
78.6,96.39
41.82,48.35
15.17,61.73
93.59,11.03
27.06,29.69
